,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
0,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,492f2250ed0542afa74c13bbecb02b10,100,2,581,379,0.0,binning,202,0.7263766429999805
1,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,2eee8bb3474d454b87d1dc36da272946,100,2,581,379,0.002,binning,248,0.9832511179999983
2,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,27c26dc6e7a84e2a90151f747b627362,100,2,581,379,0.005,binning,284,0.8198404840000535
3,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,6d949d3d43b44d68aeb133dff3907758,100,2,581,379,0.01,binning,304,0.8152910759999941
4,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,6f184c29e8e44a24918bd5a0b4f77a90,100,2,581,379,0.02,binning,332,0.8372948740000083
5,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,0376cb42b8d5426c997da0f4698d8ea8,100,2,581,379,0.03,binning,380,0.849700748000032
6,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,dfdfda90c8ae491da23d3db113a3db66,100,2,581,379,0.04,binning,414,1.078812460999984
7,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,def5844e019a4b1bbd265c31182a144f,100,2,581,379,0.05,binning,430,0.9905738250000127
8,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,f30f8d1ac94849b9b7885fabb7266f1b,100,2,581,379,0.1,binning,518,1.1267505009999468
9,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,a50dae730ed945e096b76b4673954afe,100,2,581,379,0.2,binning,566,1.3029190080000035
10,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,783a7d1aef3d4b8587c4df15909e35fc,100,2,581,379,0.5,binning,580,1.2742333039999494
11,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,5c8f47f002bf4d489a41a8bab9daf2a8,100,2,581,379,1.0,binning,580,1.2823936039999921
12,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,f84fbb9b25e14769a1b717ee043f06f3,100,2,581,379,0.0,gradient,202,0.2556641620000164
13,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,0513a12f60d74a30b962bb9385161f1c,100,2,581,379,0.002,gradient,210,0.3181568759999891
14,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,c37d9a9920a04f458a033ac93ce7195c,100,2,581,379,0.005,gradient,232,0.3665716819999716
15,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,38bb021bea6e41a1a4cd6d4f4bb8ec24,100,2,581,379,0.01,gradient,256,0.44680505100001255
16,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,045327ca7df84c80a8a11e4496c69f73,100,2,581,379,0.02,gradient,312,0.569935504
17,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,390daf75656a44299e39c1f898ac75ea,100,2,581,379,0.03,gradient,370,0.7725093509999965
18,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,28b68ab4353446de95404bbed6189c6e,100,2,581,379,0.04,gradient,402,0.7033809179999935
19,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,f50cdb002f584e8fbfbda5dc9bd04930,100,2,581,379,0.05,gradient,424,0.7576655949999918
20,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,b9c6baebbe4f4321a6a17dfbf14652f1,100,2,581,379,0.1,gradient,508,0.9916144850000137
21,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,d085af142fab4b329b3606ec6cc1257d,100,2,581,379,0.2,gradient,560,1.1741617449999922
22,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,e1c103009a4242e299e4495ccca1e7ed,100,2,581,379,0.5,gradient,580,1.211800160999985
23,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,cfe7f50cb7ac4e369cb860e66a4c13a1,100,2,581,379,1.0,gradient,580,1.311445163999963
24,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,69585d7081fe4242b3ed8386ee514cd3,100,2,581,379,0.0,induced,202,0.8297940089999543
25,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,e6a2a15d27154a70ad93e90ced4c36dd,100,2,581,379,0.002,induced,276,0.8330098569999791
26,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,fb816add10924bad9fd463f5114b155a,100,2,581,379,0.005,induced,304,0.8738332030000038
27,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,957a98a8bccf47d8b27d518ce63ef6c4,100,2,581,379,0.01,induced,322,0.8657674899999961
28,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_3.csv,1f287c7060e649c8bed8081d4bca2ba4,100,2,581,379,0.02,induced,354,0.8262418639999964
