,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
0,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,00a4a51c38f64943aded38934268bc1b,200,3,5103,1689,0.0,binning,3414,5.276242640000419
1,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,0a6901948e094a20aa5ebefa30238760,200,3,5103,1689,0.002,binning,3860,6.195955959999992
2,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,ae11833d4fab4705ba09e0e1804f863c,200,3,5103,1689,0.005,binning,4062,6.72995253299996
3,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,5a872f51380f47f58b7041723c4159a0,200,3,5103,1689,0.01,binning,4220,7.028983317000893
4,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,abd9a6bf855b4eb4b71e7ae0646da55e,200,3,5103,1689,0.02,binning,4362,7.336721334000686
5,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,fd6c5b7a611f4c19b2ccceac5f7681d9,200,3,5103,1689,0.03,binning,4450,7.631384061998688
6,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,302b1ba30e544c0b92ff6ea91d82e47e,200,3,5103,1689,0.04,binning,4494,7.64967103500021
7,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,8a850d48d50c4980a546613e4c0679eb,200,3,5103,1689,0.05,binning,4562,7.816567761999977
8,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,a80c7a1febe8417e94b7a905f2aa250d,200,3,5103,1689,0.1,binning,4768,8.560356914000295
9,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,899f3db5130348a5b93a16ec314028cb,200,3,5103,1689,0.2,binning,4994,11.098448278000433
10,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,713e560599914270a70f292bde3e0468,200,3,5103,1689,0.5,binning,5102,14.692049059000055
11,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,c5f74bb405bc4d1281ba700a0f5f16a1,200,3,5103,1689,1.0,binning,5102,14.821421295999244
12,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,db1d3d8a3ee5462c9f8d38da433272e3,200,3,5103,1689,0.0,gradient,3414,1.0494137890000275
13,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,7be172b91e5245a6a727de73626d712f,200,3,5103,1689,0.002,gradient,3520,1.8949322150001535
14,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,78cccc0828864f4abc6f8496d2d110a4,200,3,5103,1689,0.005,gradient,3676,2.711238248000882
15,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,067a7ed4e7d4494196b511d350e0157f,200,3,5103,1689,0.01,gradient,3838,3.4403949059997103
16,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,a7151565702f48d69ca72a4a4f9c7ca5,200,3,5103,1689,0.02,gradient,4056,4.2331529690000025
17,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,1d84666455e94e1fadcbda0b1d1d096a,200,3,5103,1689,0.03,gradient,4232,5.0080576989985275
18,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_3D_200pts_17.csv,77966289584a4cddaad69cddec8fee54,200,3,5103,1689,0.04,gradient,4344,5.53663198600043
