,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
0,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,5a807b5fbfb34bf38cee35a4f4db64f9,100,2,583,359,0.0,binning,224,0.6777234649999855
1,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,e791912b4c334a429bbcba9bd2f13e3b,100,2,583,359,0.002,binning,272,0.738004697000008
2,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,c3330f060dff4d72a37f36b7b6b89193,100,2,583,359,0.005,binning,294,0.7940772670000342
3,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,f1f5fa037ff2437aa66059c0cf4dd568,100,2,583,359,0.01,binning,320,0.9500261300000261
4,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,cff4962328e84f518bbd1054a6e78b22,100,2,583,359,0.02,binning,346,0.9170116749999693
5,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,c0b147afd988407799f19c17f0c93320,100,2,583,359,0.03,binning,376,0.7499498990000006
6,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,69d88c03dea84588ae1ce1531bcbab6a,100,2,583,359,0.04,binning,404,0.7640493330000027
7,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,cae561e2ce4e49bb84d9a2449210e888,100,2,583,359,0.05,binning,420,0.770266233999962
8,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,a5cbcf55b2d54741b10a78670afe81d0,100,2,583,359,0.1,binning,536,1.028543529999979
9,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,301b271f4de94836a266d65f5cf99a1d,100,2,583,359,0.2,binning,578,1.0602041340000028
10,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,5c234bc4dfdf4af8b1b6d54fcb339ea4,100,2,583,359,0.5,binning,582,1.018773586000009
11,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,b283c7586b874c55b5bb32986a913e7b,100,2,583,359,1.0,binning,582,1.0680407690000493
12,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,078e278ac6ce4a9cb214fcf78f520d14,100,2,583,359,0.0,gradient,224,0.2405576060000385
13,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,66f7c55cdeb34541bec7f2c0fb65db66,100,2,583,359,0.002,gradient,230,0.27987161700002616
14,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,84a26378b2ba4c2e8ab3ab818e5acae0,100,2,583,359,0.005,gradient,238,0.35734028100000614
15,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,8f02009fe0c149bfacb3a185ecc9878d,100,2,583,359,0.01,gradient,260,0.42622484299999996
16,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,9e33dd2403da44f0b7e777b781a57e6f,100,2,583,359,0.02,gradient,316,0.5580999580000139
17,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,82b84493cc4d4ccf8e79c6be7d2dd19f,100,2,583,359,0.03,gradient,354,0.648891419999984
18,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,b39be22fd8e848f5a8a66221bcc17444,100,2,583,359,0.04,gradient,394,0.692217487999983
19,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,a921acdda56a4668976c942ab8683c7f,100,2,583,359,0.05,gradient,418,0.7419037230000072
20,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,aebfdcd074da4e74a382b3731f0f3f98,100,2,583,359,0.1,gradient,520,1.0332099850000418
21,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,6aacdee9f48f41b7b00ea7c6766fc96a,100,2,583,359,0.2,gradient,568,1.073440182000013
22,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,5e9fa557e3d444d497f799ae7d1d2f4e,100,2,583,359,0.5,gradient,582,1.1046666459999983
23,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,6192e3ff937d4d1aac5ddf1bc95984ae,100,2,583,359,1.0,gradient,582,1.0921918970000206
24,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,ec31eeb670994cf48e5d2ec6ee34cf31,100,2,583,359,0.0,induced,224,0.6480372979999629
25,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,cc1012607ae9474790e092bf7ba4e591,100,2,583,359,0.002,induced,290,0.6992138250000153
26,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,a7528094f5514d498f1f6659f9406508,100,2,583,359,0.005,induced,320,0.7237291719999916
27,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_17.csv,25d7275b550945f09fe9a3286563b0d2,100,2,583,359,0.01,induced,338,0.7384576819999893
