,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
0,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,6c6a2ffd17b445a4ba7b3076f656a091,100,2,577,385,0.0,binning,192,0.8495026839999866
1,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,771be047be0e40f6b8dd80c1c06cca82,100,2,577,385,0.002,binning,250,0.7363474580000116
2,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,57106b7e9150491daef74698cb13b641,100,2,577,385,0.005,binning,274,0.7693429560000027
3,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,3e036aa844764a9d8dcb5f0e0c8e996c,100,2,577,385,0.01,binning,294,0.7656509720000031
4,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,15073d76f9134a6a8b603ccb78267de1,100,2,577,385,0.02,binning,334,0.7824071910000043
5,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,0c7d7def732647bc8cd268582e85a13c,100,2,577,385,0.03,binning,362,0.8662600899999973
6,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,93192b25f58f448b863fabde0e013745,100,2,577,385,0.04,binning,394,0.8523170850000099
7,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,3da80dff70f1429892883c0f3d7df34a,100,2,577,385,0.05,binning,420,1.0312232979999862
8,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,122d865077d948d4931bcb3d14a5a159,100,2,577,385,0.1,binning,518,1.2513070629999845
9,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,aee776772c6740fda8d3399afdad3d86,100,2,577,385,0.2,binning,560,1.436007988
10,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,7511d3958009419aaa5f5eb4fa9d4363,100,2,577,385,0.5,binning,576,1.4610635839999873
11,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,f54136a09e4d4c3da87427396edb51b7,100,2,577,385,1.0,binning,576,1.9067723559999763
12,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,1f105a356295439d9fafe7021377e8d0,100,2,577,385,0.0,gradient,192,0.24448732700000164
13,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,3ee828a46ab74db6ae0bcacfc3de2040,100,2,577,385,0.002,gradient,204,0.4204823499999861
14,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,07f2ccdbaf0549f99173b3041b9d4492,100,2,577,385,0.005,gradient,226,0.42423252500000785
15,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,6142da2311a54f00bcbc9eafa224a3f0,100,2,577,385,0.01,gradient,250,0.40282883300000094
16,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,f58d776f81c647de9c12393f5f68e230,100,2,577,385,0.02,gradient,312,0.5380126679999933
17,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,470c8853a2954c4b8c7a9d355d211b15,100,2,577,385,0.03,gradient,362,0.8465497179999772
18,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,42c9f0c2342a49fc84011587502f3da9,100,2,577,385,0.04,gradient,390,0.791284931000007
19,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,b0537eccf49b4d79983aa60f6ac871e0,100,2,577,385,0.05,gradient,432,0.8103709699999797
20,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,d1a7a07f7b6142a89d7ec997e5856f53,100,2,577,385,0.1,gradient,520,1.084469568000003
21,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,d2452406ee9a49e8aa7b605e37d7c193,100,2,577,385,0.2,gradient,558,1.2325013939999963
22,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,22018a9136aa4009bfb43240bf3f77e7,100,2,577,385,0.5,gradient,576,1.4901201499999956
23,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,7a89a932d5e344d08e81fa219ce3bf7a,100,2,577,385,1.0,gradient,576,1.3094285839999884
24,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,0660720190764b25a12c57c416961dd3,100,2,577,385,0.0,induced,192,0.8979218650000007
25,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,bcab2d8585a14d459c74b8d62334060f,100,2,577,385,0.002,induced,272,0.7568800880000026
26,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,26fe83ae7657458e91207322d9926a13,100,2,577,385,0.005,induced,310,1.0146801550000077
27,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,a06991c5a028481ca7e8210d8a26cbf3,100,2,577,385,0.01,induced,320,0.8487861629999998
28,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,5c01c4da6dd145d9a0aead83dc35a07a,100,2,577,385,0.02,induced,354,0.8376074690000337
29,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,0dbe3871d4f044aaa35e02a9c43b9e1a,100,2,577,385,0.03,induced,376,0.9241891899999928
30,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_100pts_15.csv,90cf875ccf0f48e794612956fb24dd1e,100,2,577,385,0.04,induced,408,0.917019120999953
