,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
0,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,13fbd3248abe4d639dfadf0de50c81ea,500,2,2969,1971,0.0,binning,998,4.038257001999227
1,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,c7c7319b84264344a8f24a594bb6a695,500,2,2969,1971,0.002,binning,1376,5.176509642000383
2,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,0a6faee575124cfba04726c1b040a5e9,500,2,2969,1971,0.005,binning,1538,5.647392133999347
3,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,d5ddbf8647644bf68b6697b165b1fcfb,500,2,2969,1971,0.01,binning,1748,6.19933552800012
4,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,b1913753df0b4de6a2b14a9df8a4c4dd,500,2,2969,1971,0.02,binning,2076,7.187729772999774
5,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,f5c591d79a364746a1fdacf5086b3f01,500,2,2969,1971,0.03,binning,2380,8.142888135000248
6,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,cd0b747eda1c4bfbbf2cf86fa39f820b,500,2,2969,1971,0.04,binning,2600,8.924271861000307
7,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,fac55ccb49bc44a68ed79013db32c986,500,2,2969,1971,0.05,binning,2688,9.323570475999986
8,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,c32656b4a8d14587a31eb85a68407c2e,500,2,2969,1971,0.1,binning,2880,10.189319803000217
9,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,5524ea2e5a974eef8e73cd944473b4bf,500,2,2969,1971,0.2,binning,2956,10.523213232000671
10,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,0a86b4c8cd914be7adb9b628962dc35c,500,2,2969,1971,0.5,binning,2968,10.65156316499997
11,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,99b4ecbd119f460fbdd2605c5021347a,500,2,2969,1971,1.0,binning,2968,10.60469398799978
12,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,2d1685afff994f4a892b802c0dc3ba67,500,2,2969,1971,0.0,gradient,998,1.214985077000165
13,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,3107d012eb224c2387edd794e4e39401,500,2,2969,1971,0.002,gradient,1100,2.0268829689994163
14,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,d95d1a497e274a1995114b911a533a0d,500,2,2969,1971,0.005,gradient,1302,2.882183645000623
15,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,8c670c6fb7854068b4dc6edaa3f4dd8e,500,2,2969,1971,0.01,gradient,1616,4.141700636999303
16,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,8ecfe449484f4ac19d9184b4457f5610,500,2,2969,1971,0.02,gradient,2062,6.028070418000425
17,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,74155c46fc76464e975d5392f174b351,500,2,2969,1971,0.03,gradient,2356,7.5636109490005765
18,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,78b1bd3114f84107976e2d23e1b02d6e,500,2,2969,1971,0.04,gradient,2538,8.485502512000494
19,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,7e0251c18dac459ca2a85ebf1b058b51,500,2,2969,1971,0.05,gradient,2672,9.231013460000213
20,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,2b9ddae546e24a5fa91d84918a6f38a9,500,2,2969,1971,0.1,gradient,2886,10.596098918999814
21,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,c9377a854ad64e4bb97b60189b48e5a8,500,2,2969,1971,0.2,gradient,2946,10.992231651999646
22,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,5ec061dcfc23425b9af7d26e35caca44,500,2,2969,1971,0.5,gradient,2968,11.161228672000107
23,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_500pts_6.csv,52e9fbd2517940aaa4bfe3ccbe5a8f92,500,2,2969,1971,1.0,gradient,2968,11.105672298000172
